iter	Logloss
0	0.6426908482
1	0.5990817251
2	0.5615707465
3	0.529184985
4	0.5004663357
5	0.475828125
6	0.4549951249
7	0.4363411536
8	0.420167372
9	0.4059796239
10	0.3939149499
11	0.3831618652
12	0.373823031
13	0.3653055304
14	0.3579031827
15	0.3510919054
16	0.3451326265
17	0.3399648651
18	0.3349135103
19	0.3306010568
20	0.3266408808
21	0.3227286842
22	0.3192490137
23	0.3162760049
24	0.3137481728
25	0.3113046759
26	0.3089429273
27	0.3066719118
28	0.3047450629
29	0.3030484193
30	0.3013747539
31	0.2997140338
32	0.2982169441
33	0.2968318995
34	0.2955678227
35	0.2944132061
36	0.2933136296
37	0.2923671894
38	0.2913410083
39	0.2904153568
40	0.2895430966
41	0.2887320847
42	0.2879372617
43	0.2871932373
44	0.2865215851
45	0.2858534091
46	0.2852643384
47	0.2847057563
48	0.2841824874
49	0.2836377476
50	0.2831701951
51	0.2827295174
52	0.2822652685
53	0.2818488111
54	0.2814642973
55	0.2811037753
56	0.2807509494
57	0.2804004991
58	0.2801027832
59	0.2798094967
60	0.2794830729
61	0.2791656824
62	0.2789061221
63	0.2786593599
64	0.2784075405
65	0.2782046693
66	0.2779911199
67	0.2777965069
68	0.2775908513
69	0.2773902239
70	0.2772016447
71	0.2770216588
72	0.2768256817
73	0.2766583078
74	0.2765102384
75	0.2763441046
76	0.2761855973
77	0.276046751
78	0.275912183
79	0.2757998589
80	0.2756771008
81	0.2755388164
82	0.2754219603
83	0.2753251062
84	0.2752091549
85	0.2751093033
86	0.274999068
87	0.2748947773
88	0.2748035133
89	0.2747109453
90	0.2746260095
91	0.2745393435
92	0.2744583915
93	0.2743847366
94	0.2743122229
95	0.2742421255
96	0.2741752775
97	0.2741190902
98	0.2740541469
99	0.273979064
100	0.2739058315
101	0.2738391733
102	0.2737762199
103	0.273718595
104	0.2736762347
105	0.2736103361
106	0.2735435423
107	0.2734927262
108	0.2734395655
109	0.2733826362
110	0.2733299483
111	0.273285474
112	0.2732427804
113	0.2731909373
114	0.2731438918
115	0.2731046239
116	0.2730607775
117	0.273006183
118	0.2729427219
119	0.2728985731
120	0.2728551374
121	0.2728199618
122	0.27277274
123	0.2727326912
124	0.2727021213
125	0.2726714952
126	0.2726412741
127	0.2726155793
128	0.2725924789
129	0.2725619788
130	0.2725327207
131	0.2724950765
132	0.2724687694
133	0.2724466068
134	0.2724302281
135	0.2724079396
136	0.272379102
137	0.2723535176
138	0.2723234049
139	0.2722729202
140	0.2722470006
141	0.2722073471
142	0.2721858646
143	0.2721648472
144	0.2721460135
145	0.2721191426
146	0.2721002333
147	0.2720840599
148	0.2720630949
149	0.2720461135
150	0.272023672
151	0.2720017962
152	0.2719846753
153	0.2719642276
154	0.2719349365
155	0.2719205574
156	0.2719056707
157	0.2718907703
158	0.271863911
159	0.2718468657
160	0.2718341258
161	0.2718148135
162	0.2717972955
163	0.2717732941
164	0.2717597017
165	0.2717288024
166	0.2717120206
167	0.2716426479
168	0.2716260579
169	0.2716047305
170	0.2715912311
171	0.2715650228
172	0.27155349
173	0.2715363072
174	0.2715213526
175	0.2715050843
176	0.2714932319
177	0.2714813717
178	0.2714674692
179	0.2714536578
180	0.2713914872
181	0.2713801211
182	0.2713491734
183	0.2713364762
184	0.2713193359
185	0.2713008491
186	0.271254255
187	0.2712125845
188	0.271195483
189	0.271185917
190	0.2711733379
191	0.2711643803
192	0.2711530161
193	0.2711406289
194	0.2711304525
195	0.2711199021
196	0.2711086794
197	0.2710948234
198	0.2710836763
199	0.2710738816
200	0.2710639629
201	0.2710566619
202	0.2710412423
203	0.2710323448
204	0.2710191786
205	0.2710058051
206	0.2709956907
207	0.2709766168
208	0.2709650724
209	0.2709406409
210	0.2709296836
211	0.2709176374
212	0.2709011967
213	0.2708921828
214	0.2708830082
215	0.270855089
216	0.2708479043
217	0.2708406401
218	0.2708292333
219	0.270816164
220	0.2708034804
221	0.2707869389
222	0.2707798336
223	0.2707715948
224	0.2707622748
225	0.2707545728
226	0.2707408699
227	0.270731765
228	0.2707188701
229	0.2707103446
230	0.2707017454
231	0.2706928943
232	0.2706849036
233	0.2706745218
234	0.2706613711
235	0.2706548162
236	0.2706414369
237	0.2706338259
238	0.2706276235
239	0.2706194158
240	0.2706114986
241	0.2706034633
242	0.2705941472
243	0.2705848021
244	0.2705768481
245	0.2705699599
246	0.2705604946
247	0.2705496923
248	0.2705396263
249	0.2705196339
250	0.2705113603
251	0.2705037086
252	0.2704869017
253	0.2704792926
254	0.2704684613
255	0.2704556904
256	0.2704444619
257	0.2704155157
258	0.2703985344
259	0.2703847269
260	0.2703776914
261	0.2703680168
262	0.2703564027
263	0.2703479236
264	0.2703375632
265	0.2703274972
266	0.2703196072
267	0.2703112115
268	0.2702996361
269	0.2702742687
270	0.2702664272
271	0.2702576304
272	0.2702493025
273	0.2702413776
274	0.2702316914
275	0.2701880367
276	0.2701795209
277	0.2701666376
278	0.2701498287
279	0.2701416442
280	0.2701023627
281	0.2700932714
282	0.2700847439
283	0.2700767338
284	0.2700419747
285	0.2700326238
286	0.2700102752
287	0.2699875198
288	0.2699775759
289	0.2699692131
290	0.2699554191
291	0.2699456225
292	0.2699067228
293	0.2698907451
294	0.2698831748
295	0.2698739944
296	0.2698674781
297	0.2698570731
298	0.2698499465
299	0.2698424576
